,user,text,favorite_count,retweet_count,created_at
122,elonmusk,@Rainmaker1973 Looks like they’re fighting an actual fire demon!,55913,1471,2022-09-17 19:44:19+00:00
123,elonmusk,to help mend the fault in our stars,54216,2443,2022-09-17 15:09:12+00:00
124,elonmusk,@LarckeningXuruo @cb_doge It will be later this year when laser links activate on polar constellation,2810,181,2022-09-17 14:45:55+00:00
125,elonmusk,Starlink is meant for peaceful use only,225736,13084,2022-09-17 01:48:30+00:00
126,elonmusk,@ExposingBiden @MUSCkids Is it really true that four-year-olds are receiving hormone treatment?,33193,2886,2022-09-16 21:26:49+00:00
127,elonmusk,"@NaturePortfolio @NaturePhysics Technically true, but Earth’s economy is extremely far from physical limits. 

Energy is the foundation of the economy, but we’re using a very tiny amount of available energy, even if we only used PV.",10241,822,2022-09-16 21:23:35+00:00
128,elonmusk,@GailAlfarATX @Tesla @aelluswamy Beta expanding to safety scores above 80 after 10.69.2.1 goes out,5323,765,2022-09-15 15:55:27+00:00
129,elonmusk,"@GailAlfarATX @Tesla @aelluswamy 10.69.2.1 coming out in a few days with additional polish, 10.69.3 comes out shortly after AI Day",13666,810,2022-09-15 15:50:07+00:00
130,elonmusk,@ilyasut or their short shorts https://t.co/Ek4Xby92ga,36721,1363,2022-09-15 00:23:04+00:00
131,elonmusk,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8",132034,7886,2022-09-14 07:38:04+00:00
132,elonmusk,@corey_aronson @CathieDWood Drop 0.25%,3713,344,2022-09-14 07:28:10+00:00
133,elonmusk,"@CathieDWood Exactly, this is neither subtle nor secret",12892,585,2022-09-14 07:17:09+00:00
134,elonmusk,"@WholeMarsBlog Layers upon layers of neural nets, ever higher",9605,408,2022-09-14 04:05:18+00:00
135,elonmusk,https://t.co/xMoL9wdXh6,294865,20903,2022-09-14 03:57:18+00:00
136,elonmusk,@HuobiGlobal Subtle 🤣,2366,135,2022-09-13 23:46:29+00:00
137,elonmusk,@HuobiGlobal 🤣,1966,95,2022-09-13 23:41:08+00:00
138,elonmusk,"Note, we are working on making the whistle sound much louder",29560,1667,2022-09-13 23:05:40+00:00
139,elonmusk,But u have to pay in Doge,40932,3409,2022-09-13 23:04:03+00:00
140,elonmusk,"Blow the whistle!
https://t.co/RQLDti0ULZ",51988,3874,2022-09-13 23:02:37+00:00
141,elonmusk,@chrissyfarr True,2212,81,2022-09-13 20:53:56+00:00
142,elonmusk,@kimbal Could be worse,2699,98,2022-09-13 20:12:26+00:00
143,elonmusk,@prasad_s7 @JGrupe @Tesla @SawyerMerritt @DirtyTesLa Fair point,1780,45,2022-09-13 19:32:33+00:00
144,elonmusk,@spideycyp_155 🤣👍,1947,78,2022-09-13 19:30:31+00:00
145,elonmusk,@andst7 Good thread,3503,156,2022-09-13 19:26:55+00:00
146,elonmusk,https://t.co/qjjDVyOszp,39064,3236,2022-09-13 18:49:25+00:00
147,elonmusk,@TaraBull808 Sounds pretty bad,5953,209,2022-09-13 18:48:18+00:00
148,elonmusk,"Please fix @twitter, @verified, @paraga",34175,2157,2022-09-13 18:07:16+00:00
149,elonmusk,My tweets are being suppressed!,133706,9644,2022-09-13 18:05:36+00:00
150,elonmusk,@ajtourville 🤣,1537,50,2022-09-13 17:59:03+00:00
151,elonmusk,"This says it all:
“None of the members of the Stripe chat who spoke with me said that they accepted payment or agreed to speak to the firms about Zatko, and all said they wished to defend his credibility.”",11398,815,2022-09-13 17:55:46+00:00
152,elonmusk,Anyone know who the secret clients are? Let’s out them on Twitter rn haha. https://t.co/g8D1mQZLRv,19533,2036,2022-09-13 17:45:44+00:00
153,elonmusk,@JohnArnoldFndtn Absolutely,2267,91,2022-09-13 17:11:58+00:00
154,elonmusk,@JGrupe @Tesla @SawyerMerritt @DirtyTesLa True,10730,160,2022-09-13 16:56:48+00:00
